--------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  D:\Program Files\Stata15\frequencia_cnae.txt
  log type:  text
 opened on:  19 Feb 2025, 17:13:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD4360_000000.tmp"

. tabulate cnae20subclasse, sort

   CNAE 2.0 |
  Subclasse |      Freq.     Percent        Cum.
------------+-----------------------------------
    1742799 |      7,365        0.05       89.18
    3104700 |      7,314        0.05       89.23
    8650004 |      7,203        0.05       89.27
    4924800 |      7,121        0.05       89.32
     311601 |      7,083        0.05       89.37
    6190699 |      7,064        0.05       89.42
    9602501 |      7,063        0.05       89.46
    2211100 |      7,056        0.05       89.51
    4221905 |      7,055        0.05       89.56
    7311400 |      7,029        0.05       89.61
    2831300 |      6,996        0.05       89.65
    1413401 |      6,994        0.05       89.70
    2592601 |      6,990        0.05       89.75
    6619302 |      6,954        0.05       89.80
    2212900 |      6,891        0.05       89.84
     121101 |      6,824        0.05       89.89
    5620102 |      6,812        0.05       89.93
    1112700 |      6,790        0.05       89.98
    2930102 |      6,770        0.05       90.02
    4541206 |      6,749        0.05       90.07
    4929901 |      6,744        0.05       90.12
    1354500 |      6,734        0.05       90.16
    9603304 |      6,694        0.05       90.21
    4330405 |      6,683        0.04       90.25
    9329899 |      6,659        0.04       90.30
    4679699 |      6,657        0.04       90.34
     119999 |      6,649        0.04       90.39
    8430200 |      6,632        0.04       90.43
    1051100 |      6,627        0.04       90.47
    1093702 |      6,621        0.04       90.52
    8012900 |      6,597        0.04       90.56
    1340501 |      6,563        0.04       90.61
    4399101 |      6,563        0.04       90.65
    1412602 |      6,561        0.04       90.70
    9511800 |      6,547        0.04       90.74
    5611205 |      6,516        0.04       90.78
    3250705 |      6,498        0.04       90.83
     141501 |      6,497        0.04       90.87
    4530704 |      6,465        0.04       90.91
    2330399 |      6,464        0.04       90.96
    4922102 |      6,460        0.04       91.00
    4773300 |      6,400        0.04       91.04
    8550302 |      6,341        0.04       91.09
