----------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann\frequencia_cbo.txt
  log type:  text
 opened on:   8 Feb 2025, 21:35:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD1930_000000.tmp"

. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     954125 |      6,791        0.05       86.58
     232140 |      6,729        0.05       86.63
     715610 |      6,671        0.04       86.67
     318610 |      6,648        0.04       86.72
     351810 |      6,586        0.04       86.76
     632120 |      6,558        0.04       86.80
     410205 |      6,547        0.04       86.85
     783220 |      6,536        0.04       86.89
     233210 |      6,535        0.04       86.94
     919110 |      6,533        0.04       86.98
     111405 |      6,520        0.04       87.02
     752305 |      6,515        0.04       87.07
     232135 |      6,505        0.04       87.11
     763320 |      6,403        0.04       87.15
     324205 |      6,399        0.04       87.20
     513440 |      6,379        0.04       87.24
     642015 |      6,352        0.04       87.28
     862205 |      6,349        0.04       87.33
     515210 |      6,346        0.04       87.37
     142315 |      6,317        0.04       87.41
     517415 |      6,311        0.04       87.45
     828110 |      6,283        0.04       87.50
     622105 |      6,198        0.04       87.54
     716525 |      6,189        0.04       87.58
     823325 |      6,168        0.04       87.62
     221205 |      6,141        0.04       87.66
     232150 |      6,131        0.04       87.70
     848425 |      6,114        0.04       87.74
     715130 |      6,092        0.04       87.79
     142705 |      6,091        0.04       87.83
      31210 |      6,067        0.04       87.87
     712205 |      6,050        0.04       87.91
     721325 |      5,987        0.04       87.95
     395105 |      5,974        0.04       87.99
     631210 |      5,969        0.04       88.03
     519925 |      5,909        0.04       88.07
     913115 |      5,905        0.04       88.11
     862305 |      5,900        0.04       88.15
     848115 |      5,865        0.04       88.19
     121010 |      5,800        0.04       88.23
     770105 |      5,777        0.04       88.27
     722215 |      5,759        0.04       88.30
     351425 |      5,756        0.04       88.34
     313205 |      5,701        0.04       88.38
     818110 |      5,659        0.04       88.42
     321110 |      5,629        0.04       88.46
     773415 |      5,611        0.04       88.49
     724515 |      5,543        0.04       88.53
     332105 |      5,508        0.04       88.57
     313130 |      5,502        0.04       88.61
     312320 |      5,501        0.04       88.64
     252205 |      5,497        0.04       88.68
     715205 |      5,488        0.04       88.72
     239430 |      5,465        0.04       88.75
     951305 |      5,459        0.04       88.79
     410225 |      5,433        0.04       88.83
     910105 |      5,429        0.04       88.86
     761410 |      5,420        0.04       88.90
