---------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann
> \frequencia_cbo.txt
  log type:  text
 opened on:  25 Jan 2025, 16:16:16

. 
. * Executar o comando
. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     821440 |      1,190        0.02       93.52
     325205 |      1,189        0.02       93.54
     342110 |      1,186        0.02       93.56
     761205 |      1,181        0.02       93.58
     763015 |      1,180        0.02       93.60
     913120 |      1,179        0.02       93.62
     318405 |      1,172        0.02       93.64
     631325 |      1,170        0.02       93.66
     516215 |      1,164        0.02       93.68
     517110 |      1,163        0.02       93.69
     261715 |      1,151        0.02       93.71
     841456 |      1,147        0.02       93.73
     951310 |      1,145        0.02       93.75
     811805 |      1,144        0.02       93.77
     516325 |      1,139        0.02       93.79
     613305 |      1,135        0.02       93.81
     131305 |      1,134        0.02       93.83
     773125 |      1,132        0.02       93.85
     214405 |      1,130        0.02       93.87
     391105 |      1,127        0.02       93.89
     318510 |      1,119        0.02       93.90
     342310 |      1,119        0.02       93.92
     325105 |      1,097        0.02       93.94
     766235 |      1,091        0.02       93.96
     622615 |      1,089        0.02       93.98
     142510 |      1,087        0.02       94.00
     354815 |      1,077        0.02       94.01
     251530 |      1,075        0.02       94.03
     253110 |      1,071        0.02       94.05
     372205 |      1,064        0.02       94.07
     622730 |      1,063        0.02       94.09
     950105 |      1,057        0.02       94.10
     311715 |      1,044        0.02       94.12
     231335 |      1,042        0.02       94.14
     515325 |      1,042        0.02       94.16
     516415 |      1,042        0.02       94.17
     992210 |      1,023        0.02       94.19
     721410 |      1,020        0.02       94.21
     911320 |      1,015        0.02       94.23
     783110 |      1,008        0.02       94.24
     630110 |      1,002        0.02       94.26
     914420 |        996        0.02       94.28
     214410 |        989        0.02       94.29
     511210 |        983        0.02       94.31
     412110 |        977        0.02       94.33
     517210 |        976        0.02       94.34
     731150 |        973        0.02       94.36
     422335 |        972        0.02       94.37
     420125 |        959        0.02       94.39
     765405 |        953        0.02       94.41
     832135 |        952        0.02       94.42
     131210 |        951        0.02       94.44
